Class,First Deployment Date,Platform Agent Type,Relative Depth,data_agent_recovery,data_agent_rt,data_product_list,deploy_date,depth_port_max,depth_port_min,depth_subsite,id,instrument_agent_rt,instrument_class,instrument_model,instrument_model1,instrument_series,instrument_subseries,latitude,longitude,makemodel,ready_for_2013
CTDPF,2014-08,Shore CyberPoP - Regional Observatory Management System,Bottom,FALSE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,2906,2906,2906,RS01SBVM-LJ01A-06-CTDPFB101,TRUE,CTDPF,CTDPFB,CTDPF,B,01,44.55404,-125.35235,SBE 16plusV2,
DOSTA,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL006-04-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
MASSP,2013-08,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""MASSPEC_L0"", ""MASSPEC_L1""]",2013-07-16 00:00:00,,,1554,RS03INT2-MJ03D-09-MASSPA301,TRUE,MASSP,MASSPA,MASSP,A,01,45.93567,-130.01394,non-commercial MASSP,Maybe.
OPTAA,2014-05,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2020-01-01 00:00:00,78,78,80,CE07SHSM-MF004-03-OPTAAD999,TRUE,OPTAA,OPTAAD,OPTAA,D,01,47,-124.27,AC-S,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,90m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,90,90,5200,GA03FLMA-RI001-09-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-42.5073,-42.8905,SBE 37IM,
PARAD,2014-08,Shore CyberPoP - Regional Observatory Management System,20m to 200m below sea surface,FALSE,FALSE,"[""OPTPARW_L0"", ""OPTPARW_L1""]",2020-01-01 00:00:00,200,20,500,CE04OSHY-SF01B-06-PARADA102,TRUE,PARAD,PARADA,PARAD,A,01,44.65,-124.9,digital PAR,
PRESF,2013-09,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""SFLPRES_L1""]",2013-11-22 00:00:00,133,133,210,CP01CNSM-MF005-04-PRESFB999,TRUE,PRESF,PRESFB,PRESF,B,01,40.03333333,-70.79166667,SBE 26plus,
CTDBP,2014-05,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,5,5,80,CE07SHSM-RI002-05-CTDBPC999,TRUE,CTDBP,CTDBPC,CTDBP,C,01,47,-124.27,SBE 16plusV2,
DOSTA,,,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-11-22 00:00:00,1000,0,,CP05MOAS-GL003-04-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,90m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,90,90,4800,GS03FLMA-RI001-09-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-54.0814,-89.6652,SBE 37IM,
FLORD,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,Sea surface to 1000m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,1000,0,,GS05MOAS-GL002-01-FLORDM999,FALSE,FLORD,FLORDM,FLORD,M,01,,,ECO Triplet,
PCO2W,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""CO2ABS1_L0"", ""CO2ABS2_L0"", ""CO2THRM_L0"", ""PCO2WAT_L1""]",2020-01-01 00:00:00,448,448,520,CP04OSSM-MF005-01-PCO2WB999,TRUE,PCO2W,PCO2WB,PCO2W,B,01,39.91666667,-70.79166667,SAMI-pCO2,
VEL3D,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,~240m below sea surface to 2400m,TRUE,TRUE,"[""VELPTTU_L0"", ""VELPTTU_L1""]",2020-01-01 00:00:00,2400,240,4800,GS02HYPM-WF004-05-VEL3D0999,FALSE,VEL3D,VEL3D0,VEL3D,0,01,-54.4068,-89.2796,,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,130m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,130,130,4800,GS03FLMB-RI001-10-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-54.0814,-88.894,SBE 37IM,
SPKIR,2014-08,Shore CyberPoP - Regional Observatory Management System,Near sea surface to 200,FALSE,FALSE,"[""OPTATTS_L2"", ""SPECTIR_L0"", ""SPECTIR_L1""]",2020-01-01 00:00:00,200,0,2597,RS03AXVM-SF03A-07-SPKIRA301,TRUE,SPKIR,SPKIRA,SPKIR,A,01,46.06701,-129.60316,OCR507 ICSW,
CTDMO,2014-06,Shore CyberPoP - Global Mooring Server,1000m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,1000,1000,2800,GI01SUMO-RI003-13-CTDMOR999,TRUE,CTDMO,CTDMOR,CTDMO,R,01,60.6136,-38.2581,SBE 37IM,
TRHPH,2013-08,Shore CyberPoP - Regional Observatory Management System,Bottom,FALSE,FALSE,"[""TRHPHCC_L2"", ""TRHPHEH_L1"", ""TRHPHR1_L0"", ""TRHPHR2_L0"", ""TRHPHR3_L0"", ""TRHPHTE_L1"", ""TRHPHVC_L0"", ""TRHPHVO_L0"", ""TRHPHVS_L0""]",2013-07-16 00:00:00,1520,1520,1551,RS03INT1-MJ03C-04-TRHPHA301,TRUE,TRHPH,TRHPHA,TRHPH,A,01,45.9357,-130.01533,non-commercial TRHPH,
CTDAV,,Shore CyberPoP - AUV Server,Sea surface to <= 600m,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,600,0,,CP05MOAS-AV002-03-CTDAVN999,FALSE,CTDAV,CTDAVN,CTDAV,N,01,,,,
PHSEN,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2013-08-05 00:00:00,40,40,4250,GP03FLMA-RI001-02-PHSENF999,FALSE,PHSEN,PHSENF,PHSEN,F,01,50.4676,-144.5174,SAMI-pH,
PHSEN,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2020-01-01 00:00:00,40,40,2800,GI03FLMB-RI001-02-PHSENF999,FALSE,PHSEN,PHSENF,PHSEN,F,01,60.4582,-38.0755,SAMI-pH,
DOSTA,2014-09,Shore CyberPoP - Coastal Mooring Server,2m above bottom,TRUE,FALSE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2020-01-01 00:00:00,89.5,89.5,130,CP03ISSM-MF004-01-DOSTAD999,TRUE,DOSTA,DOSTAD,DOSTA,D,01,40.16666667,-70.79166667,Optode 4831,
CTDMO,2014-06,Shore CyberPoP - Global Mooring Server,60m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,60,60,2800,GI01SUMO-RI003-05-CTDMOQ999,TRUE,CTDMO,CTDMOQ,CTDMO,Q,01,60.6136,-38.2581,SBE 37IM,
SPKIR,2014-05,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""OPTATTS_L2"", ""SPECTIR_L0"", ""SPECTIR_L1""]",2020-01-01 00:00:00,23,0,25,CE01ISSP-SP001-07-SPKIR0999,FALSE,SPKIR,SPKIR0,SPKIR,0,01,44.65,-124.1,,
CTDMO,2015-01,Shore CyberPoP - Global Mooring Server,250m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,250,250,5200,GA01SUMO-RI003-09-CTDMOQ999,TRUE,CTDMO,CTDMOQ,CTDMO,Q,01,-42.9906,-42.5104,SBE 37IM,
CTDMO,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,750m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,750,750,4250,GP03FLMB-RI001-15-CTDMOH999,FALSE,CTDMO,CTDMOH,CTDMO,H,01,50.125,-144.2097,SBE 37IM,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,350m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,350,350,4800,GS03FLMA-RI001-13-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-54.0814,-89.6652,SBE 37IM,
ADCPA,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL006-03-ADCPAM999,FALSE,ADCPA,ADCPAM,ADCPA,M,01,,,Explorer DVL 600 kHz,
NUTNR,2014-05,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""NITROPT_L1""]",2020-01-01 00:00:00,23,0,25,CE01ISSP-SP001-06-NUTNR0999,FALSE,NUTNR,NUTNR0,NUTNR,0,01,44.65,-124.1,,
ADCPT,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,"Mounted at 5m, downlooking",TRUE,FALSE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1"", ""WAVSTAT_L0"", ""WAVSTAT_L2""]",2020-01-01 00:00:00,5,5,80,CE02SHSM-RI003-01-ADCPTA999,TRUE,ADCPT,ADCPTA,ADCPT,A,01,44.64,-124.3,WorkHorse Monitor 150khz,
OPTAA,2014-05,Shore CyberPoP - Coastal Mooring Server,2m above bottom,TRUE,TRUE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2020-01-01 00:00:00,23,23,25,CE06ISSM-MF004-03-OPTAAD999,FALSE,OPTAA,OPTAAD,OPTAA,D,01,47,-124.162,AC-S,
FLORD,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,Sea surface to 1000m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,1000,0,,GI05MOAS-GL001-01-FLORDM999,FALSE,FLORD,FLORDM,FLORD,M,01,,,ECO Triplet,
VEL3D,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,~240m below sea surface to 2400m,TRUE,TRUE,"[""VELPTTU_L0"", ""VELPTTU_L1""]",2020-01-01 00:00:00,4400,240,5200,GA02HYPM-WF004-05-VEL3D0999,FALSE,VEL3D,VEL3D0,VEL3D,0,01,-42.9222,-42.5104,,
FLORT,2013-10,Shore CyberPoP - Coastal Mooring Server,Near bottom to 15m below surface,TRUE,TRUE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,500,15,500,CE09OSPM-WF001-04-FLORTK999,FALSE,FLORT,FLORTK,FLORT,K,01,46.91,-124.95,ECO Triplet,
OPTAA,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,Sea Surface to 150m,TRUE,TRUE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2020-01-01 00:00:00,150,0,4800,GS02HYPM-SP001-05-OPTAA0999,FALSE,OPTAA,OPTAA0,OPTAA,0,01,-54.4068,-89.2796,,
CTDMO,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,250m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-08-05 00:00:00,250,250,4250,GP03FLMB-RI001-12-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,50.125,-144.2097,SBE 37IM,
OPTAA,2013-09,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2013-11-22 00:00:00,5,5,210,CP01CNSM-RI002-02-OPTAAD999,TRUE,OPTAA,OPTAAD,OPTAA,D,01,40.03333333,-70.79166667,AC-S,
FLORT,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2013-08-05 00:00:00,40,40,4250,GP03FLMA-RI001-01-FLORTD999,FALSE,FLORT,FLORTD,FLORT,D,01,50.4676,-144.5174,ECO Triplet-w,
ADCPS,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,"Mounted at 500m, uplooking",TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2020-01-01 00:00:00,500,500,5200,GA03FLMA-RI001-04-ADCPSL999,FALSE,ADCPS,ADCPSL,ADCPS,L,01,-42.5073,-42.8905,WorkHorse LongRanger Sentinel 75khz,
FLORD,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,~240m below sea surface to 2400m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,2400,240,4800,GS02HYPM-WF002-01-FLORDL999,FALSE,FLORD,FLORDL,FLORD,L,01,-54.4068,-89.2796,FLBBRTD,
FLORT,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,5,5,80,CE02SHSM-RI003-05-FLORTD999,TRUE,FLORT,FLORTD,FLORT,D,01,44.64,-124.3,ECO Triplet-w,
FDCHP,2013-09,InSitu CyberPoP - Surface Mooring Platform Controller,~3m above sea surface,TRUE,FALSE,"[""FLUXHOT_L2"", ""FLUXMOM_L2"", ""FLUXWET_L2"", ""MOISTUR_L0"", ""MOISTUR_L1"", ""MOTFLUX_L0"", ""RELHUMI_L0"", ""RELHUMI_L1"", ""TMPATUR_L0"", ""TMPATUR_L1"", ""WINDTUR_L0"", ""WINDTUR_L1""]",2020-01-01 00:00:00,-3,-3,210,CP01CNSM-SB001-05-FDCHPA999,TRUE,FDCHP,FDCHPA,FDCHP,A,01,40.03333333,-70.79166667,non-commercial FDCHP,No
VEL3D,2013-08,Shore CyberPoP - Regional Observatory Management System,2m above bottom,FALSE,FALSE,"[""VELPTTU_L0"", ""VELPTTU_L1""]",2013-08-01 00:00:00,498,498,500,CE04OSBP-LJ01C-07-VEL3DC107,TRUE,VEL3D,VEL3DC,VEL3D,C,01,44.65,-124.9,VECTOR,
PCO2W,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,Sea Surface to 150m,TRUE,TRUE,"[""CO2ABS1_L0"", ""CO2ABS2_L0"", ""CO2THRM_L0"", ""PCO2WAT_L1""]",2020-01-01 00:00:00,150,0,2800,GI02HYPM-SP001-02-PCO2W0999,FALSE,PCO2W,PCO2W0,PCO2W,0,01,60.5732,-38.2581,,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,40,40,5200,GA03FLMB-RI001-07-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-42.5073,-42.1303,SBE 37IM,
VELPT,2014-09,Shore CyberPoP - Coastal Mooring Server,5m below sea surface,TRUE,FALSE,"[""VELPTMN_L1""]",2020-01-01 00:00:00,5,5,130,CP03ISSM-RI003-03-VELPTA999,TRUE,VELPT,VELPTA,VELPT,A,01,40.16666667,-70.79166667,Aquadopp 300m,
VADCP,2014-08,Shore CyberPoP - Regional Observatory Management System,"Mounted at 200, uplooking",FALSE,FALSE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELTURB_L1""]",2020-01-01 00:00:00,200,200,2597,RS03AXVM-PC03A-05-VADCPA301,TRUE,VADCP,VADCPA,VADCP,A,01,46.06701,-129.60316,Workhorse custom 600 kHz 5 Beam ,
METBK,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,~3m above sea surface,TRUE,FALSE,"[""BARPRES_L0"", ""BARPRES_L1"", ""CONDSRF_L0"", ""CONDSRF_L1"", ""FRSHFLX_L2"", ""HEATFLX_L2"", ""LATNFLX_L2"", ""LONGIRR_L0"", ""LONGIRR_L1"", ""MOMMFLX_L2"", ""NETLIRR_L2"", ""NETSIRR_L2"", ""PRECIPM_L0"", ""PRECIPM_L1"", ""RAINFLX_L2"", ""RAINRTE_L2"", ""RELHUMI_L0"", ""RELHUMI_L1"", ""SALSURF_L2"", ""SENSFLX_L2"", ""SHRTIRR_L0"", ""SHRTIRR_L1"", ""SPECHUM_L2"", ""SPHUM2M_L2"", ""TEMPA2M_L2"", ""TEMPAIR_L0"", ""TEMPAIR_L1"", ""TEMPSRF_L0"", ""TEMPSRF_L1"", ""WIND10M_L2"", ""WINDAVG_L0"", ""WINDAVG_L1""]",2020-01-01 00:00:00,-3,-3,500,CE04OSSM-SB001-01-METBKA999,TRUE,METBK,METBKA,METBK,A,01,44.65,-124.9,ASIMET,
CTDGV,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,Sea surface to 1000m,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-08-05 00:00:00,1000,0,,GP05MOAS-GL002-04-CTDGVM999,FALSE,CTDGV,CTDGVM,CTDGV,M,01,,,GPCTD,
PREST,2013-08,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""SFLPRES_L1""]",2013-07-16 00:00:00,,,2654,RS03AXBS-MJ03A-07-PRESTA301,TRUE,PREST,PRESTA,PREST,A,01,46.10815,-129.61816,SBE 54,
DOSTA,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,Sea surface to 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2020-01-01 00:00:00,1000,0,,GS05MOAS-GL003-02-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
PCO2W,2014-08,Shore CyberPoP - Regional Observatory Management System,20m to 200m below sea surface,FALSE,FALSE,"[""CO2ABS1_L0"", ""CO2ABS2_L0"", ""CO2THRM_L0"", ""PCO2WAT_L1""]",2020-01-01 00:00:00,200,20,500,CE04OSHY-SF01B-05-PCO2WA102,TRUE,PCO2W,PCO2WA,PCO2W,A,01,44.65,-124.9,SAMI-pCO2,
ZPLSG,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,"Mounted at 150m, uplooking",TRUE,TRUE,"[""SONBSCA_L0"", ""SONBSCA_L1""]",2020-01-01 00:00:00,150,150,2800,GI02HYPM-MP003-01-ZPLSGA999,FALSE,ZPLSG,ZPLSGA,ZPLSG,A,01,60.5732,-38.2581,,Maybe
PHSEN,2015-01,Shore CyberPoP - Global Mooring Server,100m below sea surface,TRUE,FALSE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2020-01-01 00:00:00,100,100,4800,GS01SUMO-RI003-02-PHSENE999,TRUE,PHSEN,PHSENE,PHSEN,E,01,-54.4704,-89.2796,SAMI-pH,No
HYDLF,2013-08,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""HYDAPLF_L0"", ""HYDAPLF_L1""]",2013-07-16 00:00:00,,,1584,RS03CCAL-MJ03F-06-HYDLFA305,TRUE,HYDLF,HYDLFA,HYDLF,A,01,45.97618,-130.02011,90-U,
WAVSS,2014-06,Shore CyberPoP - Global Mooring Server,Sea Surface,TRUE,FALSE,"[""WAVSTAT_L0"", ""WAVSTAT_L2""]",2020-01-01 00:00:00,0,0,2800,GI01SUMO-SB001-05-WAVSSA999,TRUE,WAVSS,WAVSSA,WAVSS,A,01,60.6136,-38.2581,TRIAXYS,
DOSTA,2013-10,Shore CyberPoP - Coastal Mooring Server,2m above the bottom,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-10-25 00:00:00,23,23,25,CE01ISSM-MF004-01-DOSTAD999,FALSE,DOSTA,DOSTAD,DOSTA,D,01,44.65,-124.1,Optode 4831,
DOSTA,2013-10,Shore CyberPoP - Coastal Mooring Server,5m below sea surface,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-10-25 00:00:00,5,5,25,CE01ISSM-RI002-01-DOSTAD999,FALSE,DOSTA,DOSTAD,DOSTA,D,01,44.65,-124.1,Optode 4831,
CTDBP,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,5,5,520,CP04OSSM-RI003-04-CTDBPC999,TRUE,CTDBP,CTDBPC,CTDBP,C,01,39.91666667,-70.79166667,SBE 16plusV2,
FLORD,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,Sea Surface to 150m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,150,0,2800,GI02HYPM-SP001-01-FLORD0999,FALSE,FLORD,FLORD0,FLORD,0,01,60.5732,-38.2581,,
CTDMO,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,350m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-08-05 00:00:00,350,350,4250,GP03FLMA-RI001-13-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,50.4676,-144.5174,SBE 37IM,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,180m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,180,180,4800,GS03FLMA-RI001-11-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-54.0814,-89.6652,SBE 37IM,
HYDLF,2013-08,Shore CyberPoP - Regional Observatory Management System,Bottom,FALSE,FALSE,"[""HYDAPLF_L0"", ""HYDAPLF_L1""]",2013-07-16 00:00:00,1516,1516,1518,RS03ECAL-MJ03E-05-HYDLFA304,TRUE,HYDLF,HYDLFA,HYDLF,A,01,45.94801,-129.98053,90-U,
PARAD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""OPTPARW_L0"", ""OPTPARW_L1""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL003-01-PARADM999,FALSE,PARAD,PARADM,PARAD,M,01,,,QSP-2155,
DOSTA,2014,Shore CyberPoP - Regional Observatory Management System,2m above bottom,FALSE,FALSE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2020-01-01 00:00:00,78,78,80,CE02SHBP-LJ01D-06-DOSTAD106,TRUE,DOSTA,DOSTAD,DOSTA,D,01,44.64,-124.3,Optode 4831,
CTDBP,2013-10,Shore CyberPoP - Coastal Mooring Server,5m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-10-25 00:00:00,5,5,25,CE01ISSM-RI003-01-CTDBPC999,FALSE,CTDBP,CTDBPC,CTDBP,C,01,44.65,-124.1,SBE 16plusV2,
